,2013,2014
Canada,"69,250","68,806"
Newfoundland and Labrador,917,895
Prince Edward Island,232,236
Nova Scotia,"1,895","1,884"
New Brunswick,"1,344","1,290"
Quebec,"16,002","16,194"
Ontario,"26,359","26,148"
Manitoba,"2,691","2,646"
Saskatchewan,"2,306","2,294"
Alberta,"6,899","6,990"
British Columbia,"8,856","8,672"
Yukon,132,135
Northwest Territories,192,192
Nunavut,128,119
Royal Canadian Mounted Police (RCMP) Headquarters and Training Academy,"1,297","1,111"
